Strategy,Cost_bps,GrossSharpe,NetSharpe,NetMaxDD,AvgTurnover,NetMeanMonthlyReturn,HitRate
Top30 Baseline,0,0.4116997172081735,0.4116997172081735,-0.31774265867105245,0.4595238095238095,0.006499111397801824,0.5285714285714286
Top30 Baseline,10,0.4116997172081735,0.3830356445481329,-0.32568053043857703,0.4595238095238095,0.006043873302563726,0.5285714285714286
Top30 Baseline,20,0.4116997172081735,0.35434133107761756,-0.33352954942934665,0.4595238095238095,0.005588635207325632,0.5142857142857142
Top30 Baseline,30,0.4116997172081735,0.3256177487082222,-0.3412906713218984,0.4595238095238095,0.005133397112087536,0.5
Top30 Baseline,50,0.4116997172081735,0.26808669325653717,-0.3565529973048027,0.4595238095238095,0.004222920921611344,0.5
Top50 Buffer,0,0.4132216556747696,0.4132216556747696,-0.31293057197983987,0.2804255710975087,0.006451840662823961,0.5142857142857142
Top50 Buffer,10,0.4132216556747696,0.39563314613957534,-0.31484665981780935,0.2804255710975087,0.006174557948869309,0.5142857142857142
Top50 Buffer,20,0.4132216556747696,0.3780263338710056,-0.31675778890544715,0.2804255710975087,0.005897275234914658,0.5142857142857142
Top50 Buffer,30,0.4132216556747696,0.360401627567325,-0.3189459139113907,0.2804255710975087,0.005619992520960008,0.5142857142857142
Top50 Buffer,50,0.4132216556747696,0.32510017948639014,-0.3295446240331835,0.2804255710975087,0.005065427093050703,0.5142857142857142
